"klinik";"laki_laki";"perempuan";"periode_update"
"Eksekutif Interne/Penyakit Dalam";"119";"118";"Maret 2020"
"KULIT & KELAMIN";"70";"73";"Maret 2020"
"Eksekutif Saraf";"46";"39";"Maret 2020"
"REHAB MEDIK";"172";"210";"Maret 2020"
"PSIKIATRI/JIWA";"81";"97";"Maret 2020"
"BEDAH SYARAF";"50";"70";"Maret 2020"
"BEDAH UMUM";"92";"93";"Maret 2020"
"KEBIDANAN/KANDUNGAN";"3";"32";"Maret 2020"
"Eksekutif Bedah Orthopedi";"59";"74";"Maret 2020"
"KELUARGA BERENCANA";"0";"6";"Maret 2020"
"JANTUNG";"414";"414";"Maret 2020"
"Eksekutif Psikiatri / Jiwa";"6";"4";"Maret 2020"
"GENERAL CHECKUP";"248";"115";"Maret 2020"
"SYARAF";"198";"228";"Maret 2020"
"PARU";"128";"117";"Maret 2020"
"Eksekutif THT";"19";"10";"Maret 2020"
"Eksekutif Kulit dan Kelamin";"21";"29";"Maret 2020"
"Eksekutif Bedah Urologi";"35";"17";"Maret 2020"
"INTERNE/PENY. DALAM";"673";"736";"Maret 2020"
"Eksekutif Jantung";"62";"69";"Maret 2020"
"Eksekutif Paru";"15";"14";"Maret 2020"
"ANASTESI";"1";"0";"Maret 2020"
"Eksekutif Paliatif Nyeri";"5";"7";"Maret 2020"
"PALIATIF NYERI";"1";"0";"Maret 2020"
"GIZI";"6";"3";"April 2020"
"INTERNE/PENY. DALAM";"493";"514";"April 2020"
"Eksekutif Jantung";"47";"40";"April 2020"
"Eksekutif Paru";"8";"7";"April 2020"
"Eksekutif Bedah Umum";"38";"24";"April 2020"
"Eksekutif Paliatif Nyeri";"2";"0";"April 2020"
"THT-KL";"33";"47";"April 2020"
"ASIH";"4";"32";"April 2020"
"BEDAH ORTHOPEDI";"90";"82";"April 2020"
"ANAK";"28";"24";"April 2020"
"Eksekutif Mata";"17";"20";"April 2020"
"Eksekutif Bedah Saraf";"16";"13";"April 2020"
"TB MDR";"12";"10";"April 2020"
"Eksekutif Rehab Medik";"6";"2";"April 2020"
"MATA";"55";"58";"April 2020"
"Eksekutif Kebidanan/Kandungan";"3";"42";"April 2020"
"HEMODIALISA";"165";"131";"April 2020"
"GIGI & MULUT";"14";"27";"April 2020"
"Eksekutif Anak";"1";"2";"April 2020"
"BEDAH UROLOGI";"200";"54";"April 2020"
"Eksekutif Interne/Penyakit Dalam";"94";"83";"April 2020"
"KULIT & KELAMIN";"40";"59";"April 2020"
"PSIKIATRI/JIWA";"59";"82";"April 2020"
"Eksekutif Saraf";"34";"28";"April 2020"
"BEDAH SYARAF";"30";"43";"April 2020"
"REHAB MEDIK";"35";"42";"April 2020"
"POLI SPESIALIS";"0";"1";"April 2020"
"BEDAH UMUM";"33";"51";"April 2020"
"KEBIDANAN/KANDUNGAN";"1";"27";"April 2020"
"Eksekutif Bedah Orthopedi";"42";"55";"April 2020"
"KELUARGA BERENCANA";"0";"2";"April 2020"
"JANTUNG";"247";"260";"April 2020"
"Eksekutif Psikiatri / Jiwa";"4";"1";"April 2020"
"GENERAL CHECKUP";"49";"90";"April 2020"
"SYARAF";"127";"127";"April 2020"
"Eksekutif THT";"15";"8";"April 2020"
"PARU";"81";"65";"April 2020"
"Eksekutif Kulit dan Kelamin";"24";"38";"April 2020"
"Eksekutif Bedah Urologi";"45";"21";"April 2020"
"GIZI";"4";"2";"Mei 2020"
"INTERNE/PENY. DALAM";"443";"431";"Mei 2020"
"Eksekutif Jantung";"44";"40";"Mei 2020"
"Eksekutif Paru";"5";"5";"Mei 2020"
"Eksekutif Bedah Umum";"26";"28";"Mei 2020"
"Eksekutif Paliatif Nyeri";"5";"2";"Mei 2020"
"Eksekutif Gigi dan Mulut";"0";"1";"Mei 2020"
"THT-KL";"31";"29";"Mei 2020"
"ASIH";"0";"40";"Mei 2020"
"BEDAH ORTHOPEDI";"66";"65";"Mei 2020"
"ANAK";"30";"20";"Mei 2020"
"TB MDR";"15";"10";"Mei 2020"
"Eksekutif Rehab Medik";"5";"6";"Mei 2020"
"Eksekutif Mata";"13";"23";"Mei 2020"
"Eksekutif Bedah Saraf";"9";"9";"Mei 2020"
"MATA";"44";"41";"Mei 2020"
"Eksekutif Kebidanan/Kandungan";"3";"35";"Mei 2020"
"HEMODIALISA";"165";"134";"Mei 2020"
"GIGI & MULUT";"9";"14";"Mei 2020"
"Eksekutif Interne/Penyakit Dalam";"82";"81";"Mei 2020"
"BEDAH UROLOGI";"173";"49";"Mei 2020"
"KULIT & KELAMIN";"29";"38";"Mei 2020"
"PSIKIATRI/JIWA";"69";"71";"Mei 2020"
"REHAB MEDIK";"26";"37";"Mei 2020"
"Eksekutif Saraf";"23";"30";"Mei 2020"
"BEDAH SYARAF";"25";"39";"Mei 2020"
"POLI SPESIALIS";"0";"1";"Mei 2020"
"BEDAH UMUM";"44";"57";"Mei 2020"
"KEBIDANAN/KANDUNGAN";"1";"19";"Mei 2020"
"Eksekutif Bedah Orthopedi";"43";"38";"Mei 2020"
"KELUARGA BERENCANA";"0";"2";"Mei 2020"
"JANTUNG";"220";"248";"Mei 2020"
"Eksekutif Psikiatri / Jiwa";"3";"3";"Mei 2020"
"GENERAL CHECKUP";"206";"101";"Mei 2020"
"PARU";"57";"44";"Mei 2020"
"Eksekutif THT";"9";"6";"Mei 2020"
"SYARAF";"103";"113";"Mei 2020"
"Eksekutif Kulit dan Kelamin";"14";"28";"Mei 2020"
"Eksekutif Bedah Urologi";"28";"14";"Mei 2020"
"GIZI";"4";"1";"Juni 2020"
"Eksekutif Bedah Umum";"50";"55";"Juni 2020"
"Eksekutif Paliatif Nyeri";"6";"4";"Juni 2020"
"Eksekutif Gigi dan Mulut";"2";"0";"Juni 2020"
"THT-KL";"44";"77";"Juni 2020"
"ASIH";"0";"56";"Juni 2020"
"BEDAH ORTHOPEDI";"111";"94";"Juni 2020"
"ANAK";"38";"30";"Juni 2020"
"Eksekutif Bedah Saraf";"21";"14";"Juni 2020"
"Eksekutif Mata";"44";"54";"Juni 2020"
"TB MDR";"15";"13";"Juni 2020"
"Eksekutif Rehab Medik";"7";"7";"Juni 2020"
"MATA";"104";"117";"Juni 2020"
"Eksekutif Kebidanan/Kandungan";"5";"58";"Juni 2020"
"HEMODIALISA";"168";"139";"Juni 2020"
"GIGI & MULUT";"25";"23";"Juni 2020"
"Eksekutif Anak";"1";"0";"Juni 2020"
"BEDAH UROLOGI";"231";"68";"Juni 2020"
"Eksekutif Interne/Penyakit Dalam";"114";"108";"Juni 2020"
"KULIT & KELAMIN";"52";"54";"Juni 2020"
"PSIKIATRI/JIWA";"115";"111";"Juni 2020"
"REHAB MEDIK";"58";"59";"Juni 2020"
"BEDAH SYARAF";"37";"66";"Juni 2020"
"Eksekutif Saraf";"47";"39";"Juni 2020"
"POLI SPESIALIS";"1";"0";"Juni 2020"
"BEDAH UMUM";"50";"82";"Juni 2020"
"KEBIDANAN/KANDUNGAN";"1";"35";"Juni 2020"
"Eksekutif Bedah Orthopedi";"63";"58";"Juni 2020"
"KELUARGA BERENCANA";"0";"2";"Juni 2020"
"JANTUNG";"315";"346";"Juni 2020"
"Eksekutif Psikiatri / Jiwa";"2";"2";"Juni 2020"
"GENERAL CHECKUP";"608";"370";"Juni 2020"
"PARU";"62";"63";"Juni 2020"
"SYARAF";"138";"140";"Juni 2020"
"Eksekutif THT";"14";"7";"Juni 2020"
"Eksekutif Kulit dan Kelamin";"34";"56";"Juni 2020"
"Eksekutif Bedah Urologi";"36";"21";"Juni 2020"
"INTERNE/PENY. DALAM";"531";"562";"Juni 2020"
"Eksekutif Jantung";"63";"57";"Juni 2020"
"Eksekutif Paru";"5";"10";"Juni 2020"
"GIZI";"6";"4";"Juli 2020"
"Eksekutif Bedah Umum";"54";"50";"Juli 2020"
"Eksekutif Gigi dan Mulut";"1";"0";"Juli 2020"
"PALIATIF NYERI";"0";"1";"Juli 2020"
"THT-KL";"50";"70";"Juli 2020"
"ASIH";"0";"50";"Juli 2020"
"ANAK";"46";"32";"Juli 2020"
"BEDAH ORTHOPEDI";"122";"95";"Juli 2020"
"Eksekutif Mata";"52";"71";"Juli 2020"
"Eksekutif Bedah Saraf";"15";"14";"Juli 2020"
"Eksekutif Rehab Medik";"12";"16";"Juli 2020"
"TB MDR";"14";"15";"Juli 2020"
"TUMBUH KEMBANG";"0";"1";"Juli 2020"
"MATA";"123";"123";"Juli 2020"
"Eksekutif Kebidanan/Kandungan";"4";"65";"Juli 2020"
"HEMODIALISA";"167";"138";"Juli 2020"
"GIGI & MULUT";"31";"28";"Juli 2020"
"Eksekutif Anak";"2";"1";"Juli 2020"
"Eksekutif Interne/Penyakit Dalam";"102";"106";"Juli 2020"
"BEDAH UROLOGI";"180";"74";"Juli 2020"
"KULIT & KELAMIN";"45";"52";"Juli 2020"
"REHAB MEDIK";"81";"64";"Juli 2020"
"PSIKIATRI/JIWA";"128";"125";"Juli 2020"
"BEDAH SYARAF";"45";"71";"Juli 2020"
"Eksekutif Saraf";"43";"36";"Juli 2020"
"BEDAH UMUM";"44";"87";"Juli 2020"
"KEBIDANAN/KANDUNGAN";"2";"36";"Juli 2020"
"Eksekutif Bedah Orthopedi";"50";"73";"Juli 2020"
"KELUARGA BERENCANA";"0";"2";"Juli 2020"
"JANTUNG";"317";"354";"Juli 2020"
"Eksekutif Psikiatri / Jiwa";"1";"6";"Juli 2020"
"GENERAL CHECKUP";"639";"590";"Juli 2020"
"PARU";"54";"69";"Juli 2020"
"SYARAF";"143";"177";"Juli 2020"
"Eksekutif THT";"11";"4";"Juli 2020"
"Eksekutif Kulit dan Kelamin";"22";"35";"Juli 2020"
"Eksekutif Bedah Urologi";"47";"15";"Juli 2020"
"INTERNE/PENY. DALAM";"511";"555";"Juli 2020"
"Eksekutif Jantung";"65";"57";"Juli 2020"
"Eksekutif Paru";"6";"10";"Juli 2020"
"Eksekutif Paliatif Nyeri";"6";"1";"Juli 2020"
"GIZI";"7";"7";"Agustus 2020"
"INTERNE/PENY. DALAM";"515";"569";"Agustus 2020"
"Eksekutif Jantung";"61";"51";"Agustus 2020"
"Eksekutif Paru";"8";"6";"Agustus 2020"
"Eksekutif Bedah Umum";"43";"35";"Agustus 2020"
"Eksekutif Paliatif Nyeri";"6";"2";"Agustus 2020"
"PALIATIF NYERI";"0";"1";"Agustus 2020"
"THT-KL";"52";"66";"Agustus 2020"
"ASIH";"0";"35";"Agustus 2020"
"ANAK";"37";"25";"Agustus 2020"
"BEDAH ORTHOPEDI";"112";"105";"Agustus 2020"
"Eksekutif Mata";"49";"70";"Agustus 2020"
"Eksekutif Bedah Saraf";"20";"15";"Agustus 2020"
"Eksekutif Rehab Medik";"8";"10";"Agustus 2020"
"TB MDR";"17";"14";"Agustus 2020"
"MATA";"101";"126";"Agustus 2020"
"Eksekutif Kebidanan/Kandungan";"3";"65";"Agustus 2020"
"HEMODIALISA";"157";"135";"Agustus 2020"
"GIGI & MULUT";"29";"33";"Agustus 2020"
"Eksekutif Anak";"0";"2";"Agustus 2020"
"Eksekutif Interne/Penyakit Dalam";"97";"108";"Agustus 2020"
"BEDAH UROLOGI";"188";"67";"Agustus 2020"
"KULIT & KELAMIN";"46";"41";"Agustus 2020"
"REHAB MEDIK";"93";"81";"Agustus 2020"
"PSIKIATRI/JIWA";"114";"124";"Agustus 2020"
"Eksekutif Saraf";"45";"45";"Agustus 2020"
"BEDAH SYARAF";"48";"62";"Agustus 2020"
"KEBIDANAN/KANDUNGAN";"2";"39";"Agustus 2020"
"BEDAH UMUM";"47";"85";"Agustus 2020"
"Eksekutif Bedah Orthopedi";"56";"73";"Agustus 2020"
"KELUARGA BERENCANA";"0";"4";"Agustus 2020"
"JANTUNG";"313";"351";"Agustus 2020"
"Eksekutif Psikiatri / Jiwa";"1";"3";"Agustus 2020"
"GENERAL CHECKUP";"613";"478";"Agustus 2020"
"SYARAF";"154";"142";"Agustus 2020"
"PARU";"52";"51";"Agustus 2020"
"Eksekutif THT";"9";"8";"Agustus 2020"
"Eksekutif Kulit dan Kelamin";"21";"23";"Agustus 2020"
"Eksekutif Bedah Urologi";"33";"12";"Agustus 2020"
"GIZI";"4";"7";"September 2020"
"Eksekutif Gigi dan Mulut";"3";"2";"September 2020"
"Eksekutif Bedah Umum";"37";"42";"September 2020"
"PALIATIF NYERI";"1";"2";"September 2020"
"THT-KL";"48";"51";"September 2020"
"ASIH";"3";"25";"September 2020"
"Eksekutif Endoskopi";"0";"1";"September 2020"
"BEDAH ORTHOPEDI";"142";"126";"September 2020"
"ANAK";"43";"32";"September 2020"
"Eksekutif Mata";"57";"77";"September 2020"
"Eksekutif Bedah Saraf";"24";"18";"September 2020"
"Eksekutif Rehab Medik";"12";"12";"September 2020"
"TB MDR";"13";"15";"September 2020"
"MATA";"109";"111";"September 2020"
"Eksekutif Kebidanan/Kandungan";"3";"49";"September 2020"
"HEMODIALISA";"152";"136";"September 2020"
"GIGI & MULUT";"28";"39";"September 2020"
"Eksekutif Anak";"2";"5";"September 2020"
"BEDAH UROLOGI";"217";"86";"September 2020"
"Eksekutif Interne/Penyakit Dalam";"106";"94";"September 2020"
"KULIT & KELAMIN";"44";"60";"September 2020"
"REHAB MEDIK";"93";"100";"September 2020"
"PSIKIATRI/JIWA";"92";"117";"September 2020"
"BEDAH SYARAF";"46";"57";"September 2020"
"Eksekutif Saraf";"38";"46";"September 2020"
"BEDAH UMUM";"51";"99";"September 2020"
"KEBIDANAN/KANDUNGAN";"1";"35";"September 2020"
"Eksekutif Bedah Orthopedi";"57";"76";"September 2020"
"KELUARGA BERENCANA";"0";"7";"September 2020"
"JANTUNG";"310";"342";"September 2020"
"Eksekutif Psikiatri / Jiwa";"3";"4";"September 2020"
"GENERAL CHECKUP";"484";"373";"September 2020"
"SYARAF";"135";"162";"September 2020"
"PARU";"52";"42";"September 2020"
"Eksekutif THT";"9";"11";"September 2020"
"Eksekutif Bedah Urologi";"42";"16";"September 2020"
"Eksekutif Kulit dan Kelamin";"14";"20";"September 2020"
"INTERNE/PENY. DALAM";"509";"564";"September 2020"
"Eksekutif Jantung";"56";"54";"September 2020"
"Eksekutif Paru";"7";"7";"September 2020"
"Eksekutif Paliatif Nyeri";"5";"3";"September 2020"
"GIZI";"1";"6";"Oktober 2020"
"INTERNE/PENY. DALAM";"474";"538";"Oktober 2020"
"Eksekutif Jantung";"55";"65";"Oktober 2020"
"Eksekutif Paru";"6";"8";"Oktober 2020"
"Eksekutif Bedah Umum";"26";"43";"Oktober 2020"
"Eksekutif Paliatif Nyeri";"2";"6";"Oktober 2020"
"Eksekutif Gigi dan Mulut";"2";"1";"Oktober 2020"
"THT-KL";"35";"40";"Oktober 2020"
"ASIH";"0";"33";"Oktober 2020"
"BEDAH ORTHOPEDI";"121";"115";"Oktober 2020"
"ANAK";"34";"25";"Oktober 2020"
"Eksekutif Mata";"40";"68";"Oktober 2020"
"Eksekutif Bedah Saraf";"20";"11";"Oktober 2020"
"TB MDR";"11";"10";"Oktober 2020"
"Eksekutif Rehab Medik";"10";"10";"Oktober 2020"
"MATA";"75";"86";"Oktober 2020"
"Eksekutif Kebidanan/Kandungan";"0";"51";"Oktober 2020"
"HEMODIALISA";"149";"135";"Oktober 2020"
"GIGI & MULUT";"23";"22";"Oktober 2020"
"Eksekutif Anak";"4";"3";"Oktober 2020"
"BEDAH UROLOGI";"180";"75";"Oktober 2020"
"Eksekutif Interne/Penyakit Dalam";"86";"107";"Oktober 2020"
"KULIT & KELAMIN";"45";"58";"Oktober 2020"
"PSIKIATRI/JIWA";"75";"98";"Oktober 2020"
"REHAB MEDIK";"79";"84";"Oktober 2020"
"BEDAH SYARAF";"41";"53";"Oktober 2020"
"Eksekutif Saraf";"38";"42";"Oktober 2020"
"KEBIDANAN/KANDUNGAN";"0";"31";"Oktober 2020"
"BEDAH UMUM";"42";"79";"Oktober 2020"
"Eksekutif Bedah Orthopedi";"56";"66";"Oktober 2020"
"KELUARGA BERENCANA";"0";"7";"Oktober 2020"
"JANTUNG";"264";"247";"Oktober 2020"
"Eksekutif Psikiatri / Jiwa";"2";"3";"Oktober 2020"
"GENERAL CHECKUP";"311";"221";"Oktober 2020"
"SYARAF";"134";"137";"Oktober 2020"
"PARU";"40";"44";"Oktober 2020"
"Eksekutif THT";"8";"8";"Oktober 2020"
"Eksekutif Kulit dan Kelamin";"5";"18";"Oktober 2020"
"Eksekutif Bedah Urologi";"46";"16";"Oktober 2020"
"GIZI";"6";"2";"November 2020"
"Eksekutif Bedah Umum";"42";"46";"November 2020"
"Eksekutif Gigi dan Mulut";"1";"0";"November 2020"
"PALIATIF NYERI";"0";"1";"November 2020"
"THT-KL";"49";"64";"November 2020"
"Eksekutif Endoskopi";"3";"1";"November 2020"
"ASIH";"1";"45";"November 2020"
"BEDAH ORTHOPEDI";"173";"142";"November 2020"
"ANAK";"54";"38";"November 2020"
"Eksekutif Mata";"43";"65";"November 2020"
"TB MDR";"15";"9";"November 2020"
"Eksekutif Bedah Saraf";"20";"14";"November 2020"
"Eksekutif Rehab Medik";"15";"23";"November 2020"
"MATA";"90";"101";"November 2020"
"Eksekutif Kebidanan/Kandungan";"4";"64";"November 2020"
"HEMODIALISA";"162";"139";"November 2020"
"GIGI & MULUT";"25";"29";"November 2020"
"Eksekutif Anak";"3";"6";"November 2020"
"BEDAH UROLOGI";"245";"76";"November 2020"
"Eksekutif Interne/Penyakit Dalam";"107";"107";"November 2020"
"KULIT & KELAMIN";"55";"62";"November 2020"
"REHAB MEDIK";"115";"123";"November 2020"
"PSIKIATRI/JIWA";"77";"100";"November 2020"
"Eksekutif Saraf";"48";"56";"November 2020"
"BEDAH SYARAF";"54";"56";"November 2020"
"BEDAH UMUM";"57";"97";"November 2020"
"KEBIDANAN/KANDUNGAN";"0";"30";"November 2020"
"Eksekutif Bedah Orthopedi";"77";"71";"November 2020"
"KELUARGA BERENCANA";"0";"9";"November 2020"
"JANTUNG";"309";"296";"November 2020"
"Eksekutif Psikiatri / Jiwa";"1";"3";"November 2020"
"GENERAL CHECKUP";"434";"705";"November 2020"
"SYARAF";"149";"155";"November 2020"
"PARU";"47";"52";"November 2020"
"Eksekutif THT";"6";"13";"November 2020"
"Eksekutif Bedah Urologi";"50";"19";"November 2020"
"Eksekutif Kulit dan Kelamin";"15";"26";"November 2020"
"INTERNE/PENY. DALAM";"492";"568";"November 2020"
"Eksekutif Paru";"8";"8";"November 2020"
"Eksekutif Jantung";"59";"63";"November 2020"
"Eksekutif Paliatif Nyeri";"6";"3";"November 2020"
"GIZI";"6";"3";"Desember 2020"
"INTERNE/PENY. DALAM";"466";"508";"Desember 2020"
"Eksekutif Jantung";"56";"51";"Desember 2020"
"Eksekutif Paru";"9";"7";"Desember 2020"
"Eksekutif Bedah Umum";"40";"47";"Desember 2020"
"Eksekutif Paliatif Nyeri";"3";"4";"Desember 2020"
"Eksekutif Gigi dan Mulut";"3";"3";"Desember 2020"
"THT-KL";"48";"51";"Desember 2020"
"ASIH";"1";"42";"Desember 2020"
"BEDAH ORTHOPEDI";"177";"149";"Desember 2020"
"ANAK";"45";"30";"Desember 2020"
"Eksekutif Mata";"30";"37";"Desember 2020"
"Eksekutif Rehab Medik";"14";"25";"Desember 2020"
"TB MDR";"23";"13";"Desember 2020"
"Eksekutif Bedah Saraf";"13";"19";"Desember 2020"
"MATA";"72";"83";"Desember 2020"
"Eksekutif Kebidanan/Kandungan";"4";"67";"Desember 2020"
"HEMODIALISA";"165";"135";"Desember 2020"
"Eksekutif Anak";"3";"2";"Desember 2020"
"GIGI & MULUT";"29";"32";"Desember 2020"
"BEDAH UROLOGI";"216";"77";"Desember 2020"
"Eksekutif Interne/Penyakit Dalam";"100";"122";"Desember 2020"
"KULIT & KELAMIN";"57";"63";"Desember 2020"
"PSIKIATRI/JIWA";"56";"81";"Desember 2020"
"Eksekutif Saraf";"33";"34";"Desember 2020"
"REHAB MEDIK";"122";"139";"Desember 2020"
"BEDAH SYARAF";"56";"61";"Desember 2020"
"BEDAH UMUM";"42";"88";"Desember 2020"
"KEBIDANAN/KANDUNGAN";"1";"35";"Desember 2020"
"Eksekutif Bedah Orthopedi";"71";"75";"Desember 2020"
"KELUARGA BERENCANA";"0";"7";"Desember 2020"
"JANTUNG";"246";"259";"Desember 2020"
"Eksekutif Psikiatri / Jiwa";"0";"4";"Desember 2020"
"GENERAL CHECKUP";"411";"388";"Desember 2020"
"PARU";"49";"49";"Desember 2020"
"SYARAF";"153";"147";"Desember 2020"
"Eksekutif THT";"6";"8";"Desember 2020"
"Eksekutif Kulit dan Kelamin";"12";"18";"Desember 2020"
"Eksekutif Bedah Urologi";"42";"14";"Desember 2020"
"GIZI";"3";"5";"Januari 2021"
"Eksekutif Bedah Umum";"34";"25";"Januari 2021"
"Eksekutif Paliatif Nyeri";"1";"4";"Januari 2021"
"Eksekutif Gigi dan Mulut";"0";"4";"Januari 2021"
"THT-KL";"31";"31";"Januari 2021"
"ASIH";"1";"24";"Januari 2021"
"BEDAH ORTHOPEDI";"118";"113";"Januari 2021"
"ANAK";"37";"29";"Januari 2021"
"Eksekutif Mata";"31";"35";"Januari 2021"
"Eksekutif Bedah Saraf";"12";"22";"Januari 2021"
"Eksekutif Rehab Medik";"9";"11";"Januari 2021"
"TB MDR";"14";"14";"Januari 2021"
"MATA";"69";"73";"Januari 2021"
"Eksekutif Kebidanan/Kandungan";"2";"52";"Januari 2021"
"HEMODIALISA";"146";"135";"Januari 2021"
"Eksekutif Anak";"3";"1";"Januari 2021"
"GIGI & MULUT";"31";"38";"Januari 2021"
"BEDAH UROLOGI";"178";"55";"Januari 2021"
"Eksekutif Interne/Penyakit Dalam";"98";"95";"Januari 2021"
"KULIT & KELAMIN";"51";"42";"Januari 2021"
"REHAB MEDIK";"94";"112";"Januari 2021"
"PSIKIATRI/JIWA";"57";"70";"Januari 2021"
"BEDAH SYARAF";"36";"48";"Januari 2021"
"Eksekutif Saraf";"43";"29";"Januari 2021"
"POLI SPESIALIS";"0";"1";"Januari 2021"
"BEDAH UMUM";"40";"63";"Januari 2021"
"KEBIDANAN/KANDUNGAN";"0";"23";"Januari 2021"
"Eksekutif Bedah Orthopedi";"46";"40";"Januari 2021"
"KELUARGA BERENCANA";"0";"6";"Januari 2021"
"JANTUNG";"210";"205";"Januari 2021"
"Eksekutif Psikiatri / Jiwa";"0";"1";"Januari 2021"
"GENERAL CHECKUP";"306";"274";"Januari 2021"
"PARU";"46";"46";"Januari 2021"
"SYARAF";"108";"125";"Januari 2021"
"Eksekutif THT";"9";"5";"Januari 2021"
"Eksekutif Bedah Urologi";"27";"10";"Januari 2021"
"Eksekutif Kulit dan Kelamin";"10";"19";"Januari 2021"
"INTERNE/PENY. DALAM";"407";"453";"Januari 2021"
"Eksekutif Jantung";"63";"51";"Januari 2021"
"Eksekutif Paru";"12";"10";"Januari 2021"
"GIZI";"2";"1";"Februari 2021"
"Eksekutif Bedah Umum";"28";"39";"Februari 2021"
"Eksekutif Paliatif Nyeri";"4";"4";"Februari 2021"
"Eksekutif Gigi dan Mulut";"2";"2";"Februari 2021"
"PALIATIF NYERI";"0";"1";"Februari 2021"
"THT-KL";"42";"38";"Februari 2021"
"ASIH";"3";"28";"Februari 2021"
"ANAK";"39";"32";"Februari 2021"
"BEDAH ORTHOPEDI";"111";"102";"Februari 2021"
"Eksekutif Mata";"22";"23";"Februari 2021"
"TB MDR";"17";"12";"Februari 2021"
"Eksekutif Bedah Saraf";"11";"16";"Februari 2021"
"Eksekutif Rehab Medik";"12";"9";"Februari 2021"
"MATA";"61";"59";"Februari 2021"
"Eksekutif Kebidanan/Kandungan";"1";"62";"Februari 2021"
"HEMODIALISA";"137";"122";"Februari 2021"
"Eksekutif Anak";"3";"2";"Februari 2021"
"GIGI & MULUT";"42";"26";"Februari 2021"
"Eksekutif Interne/Penyakit Dalam";"80";"82";"Februari 2021"
"BEDAH UROLOGI";"150";"41";"Februari 2021"
"KULIT & KELAMIN";"62";"54";"Februari 2021"
"REHAB MEDIK";"112";"102";"Februari 2021"
"BEDAH SYARAF";"29";"52";"Februari 2021"
"PSIKIATRI/JIWA";"53";"66";"Februari 2021"
"Eksekutif Saraf";"33";"36";"Februari 2021"
"BEDAH UMUM";"31";"74";"Februari 2021"
"KEBIDANAN/KANDUNGAN";"0";"20";"Februari 2021"
"Eksekutif Bedah Orthopedi";"45";"58";"Februari 2021"
"KELUARGA BERENCANA";"0";"3";"Februari 2021"
"JANTUNG";"207";"183";"Februari 2021"
"Eksekutif Psikiatri / Jiwa";"1";"3";"Februari 2021"
"GENERAL CHECKUP";"295";"344";"Februari 2021"
"PARU";"43";"47";"Februari 2021"
"SYARAF";"116";"88";"Februari 2021"
"Eksekutif THT";"5";"4";"Februari 2021"
"Eksekutif Kulit dan Kelamin";"12";"17";"Februari 2021"
"Eksekutif Bedah Urologi";"27";"13";"Februari 2021"
"Eksekutif Jantung";"61";"56";"Februari 2021"
"INTERNE/PENY. DALAM";"400";"441";"Februari 2021"
"Eksekutif Paru";"9";"4";"Februari 2021"
"GIZI";"3";"1";"Maret 2021"
"Eksekutif Bedah Umum";"45";"51";"Maret 2021"
"Eksekutif Paliatif Nyeri";"2";"5";"Maret 2021"
"Eksekutif Gigi dan Mulut";"2";"3";"Maret 2021"
"PALIATIF NYERI";"0";"1";"Maret 2021"
"THT-KL";"51";"88";"Maret 2021"
"ASIH";"1";"29";"Maret 2021"
"ANAK";"60";"35";"Maret 2021"
"BEDAH ORTHOPEDI";"130";"113";"Maret 2021"
"Eksekutif Mata";"23";"41";"Maret 2021"
"TB MDR";"16";"15";"Maret 2021"
"Eksekutif Bedah Saraf";"20";"18";"Maret 2021"
"Eksekutif Rehab Medik";"7";"15";"Maret 2021"
"MATA";"119";"142";"Maret 2021"
"Eksekutif Kebidanan/Kandungan";"2";"69";"Maret 2021"
"HEMODIALISA";"135";"116";"Maret 2021"
"GIGI & MULUT";"43";"70";"Maret 2021"
"Eksekutif Anak";"4";"2";"Maret 2021"
"Eksekutif Interne/Penyakit Dalam";"90";"105";"Maret 2021"
"BEDAH UROLOGI";"174";"51";"Maret 2021"
"KULIT & KELAMIN";"88";"99";"Maret 2021"
"PSIKIATRI/JIWA";"65";"74";"Maret 2021"
"BEDAH SYARAF";"42";"59";"Maret 2021"
"REHAB MEDIK";"130";"121";"Maret 2021"
"Eksekutif Saraf";"42";"53";"Maret 2021"
"BEDAH UMUM";"47";"83";"Maret 2021"
"KEBIDANAN/KANDUNGAN";"0";"21";"Maret 2021"
"Eksekutif Bedah Orthopedi";"55";"64";"Maret 2021"
"KELUARGA BERENCANA";"0";"6";"Maret 2021"
"JANTUNG";"273";"286";"Maret 2021"
"Eksekutif Psikiatri / Jiwa";"2";"2";"Maret 2021"
"GENERAL CHECKUP";"410";"402";"Maret 2021"
"SYARAF";"127";"108";"Maret 2021"
"PARU";"52";"79";"Maret 2021"
"Eksekutif THT";"8";"10";"Maret 2021"
"Eksekutif Bedah Urologi";"46";"18";"Maret 2021"
"Eksekutif Kulit dan Kelamin";"18";"37";"Maret 2021"
"INTERNE/PENY. DALAM";"444";"508";"Maret 2021"
"Eksekutif Jantung";"65";"65";"Maret 2021"
"Eksekutif Paru";"14";"2";"Maret 2021"
"GIZI";"8";"6";"April 2021"
"Eksekutif Paliatif Nyeri";"1";"6";"April 2021"
"Eksekutif Bedah Umum";"51";"58";"April 2021"
"Eksekutif Gigi dan Mulut";"3";"5";"April 2021"
"THT-KL";"49";"49";"April 2021"
"ASIH";"3";"33";"April 2021"
"Eksekutif Endoskopi";"1";"1";"April 2021"
"BEDAH ORTHOPEDI";"136";"131";"April 2021"
"ANAK";"50";"33";"April 2021"
